Title,Authors,Year,Published in,Keywords,Keywords,# of PwP,Experiment Environment,Application,Aspects,Device,AdditonalDevices,Sensors/Actuators,SamplingFrequency,Identifier,Document Type,Comments
"Opening velocity, a novel parameter, for finger tapping test in patients with Parkinson's disease","Yokoe, M.; Okuno, R.; Hamasaki, T.; Kurachi, Y.; Akazawa, K.; Sakoda, S.",2009,Parkinsonism & Related Disorders,"Parkinson's disease, Finger tapping, Accelerometer, Principal component analysis","Parkinson's disease, Finger tapping, Accelerometer, Principal component analysis",10<n<=20,Laboratory,Diagnosis,Limb movements,Wearable,,"Accelerometer,Touch sensor",10000,j.parkreldis.2008.11.003,Research Article,
Discrimination of Parkinsonian tremor from essential tremor by implementation of a wavelet-based soft-decision technique on EMG and accelerometer signals,"Hossen, A.; Muthuraman, M.; Raethjen, J.; Deuschl, G.; Heute, U.",2010,Biomedical Signal Processing and Control,"Wavelet-decomposition, Soft-decision Technique, Parkinson tremor, Essential tremor, EMG, Accelerometer signals, Power-spectral density, Discrimination","Wavelet-decomposition, Soft-decision Technique, Parkinson tremor, Essential tremor, EMG, Accelerometer signals, Power-spectral density, Discrimination",10<n<=20,Laboratory,Diagnosis,"Tremor,EMG abnormalities",Wearable,BioPotential,"Accelerometer,EMG",800,j.bspc.2010.02.005,Research Article,
Detecting and tracking tremor in spike trains using the rectangular model based extended Kalman smoother,"Kim, Sunghan; McNames, James",2010,Journal of Neuroscience Methods,"Essential tremor (ET), Extended Kalman smoother (EKS), Inter-spike interval, Microelectrode recordings (MER), Renewal process, Spike train","Essential tremor (ET), Extended Kalman smoother (EKS), Inter-spike interval, Microelectrode recordings (MER), Renewal process, Spike train",Other patients,Laboratory,Diagnosis,"EMG abnormalities,Tremor",Wearable,BioPotential,"EMG,Accelerometer,Gyroscope",10,j.jneumeth.2010.01.025,Research Article,
Automated Detection of PD Resting Tremor Using PSD with Recurrent Neural Network Classifier,R. Arvind; B. Karthik; N. Sriraam; J. K. Kannan,2010,2010 International Conference on Advances in Recent Technologies in Communication and Computing,Parkinson's Disease;EMG tremors;power spectral density;recurrent neural network,Parkinson's Disease;EMG tremors;power spectral density;recurrent neural network,10<n<=20,Laboratory,Diagnosis,"EMG abnormalities,Tremor",BioPotential,,EMG,,artcom.2010.33,IEEE Conferences,
Laryngeal Electromyography and Acoustic Voice Analysis in Parkinson's Disease: a comparative study,"Zarzur, Ana Paula; Duarte, Isabella Sebusiani; do Nascimento Holanda GonÃ§alves, Gabrielle; Martins, Maria Angela Ueda Russo",2010,Brazilian Journal of Otorhinolaryngology,"acoustics, voice disorders, parkinson disease, electromyography, larynx","acoustics, voice disorders, parkinson disease, electromyography, larynx",20<n<=30,Laboratory,Diagnosis,"EMG abnormalities,Speech topics",BioPotential,Audio Recording,"EMG,Microphone",,s1808-86942010000100008,Research Article,
Detection of Gait and Postures Using a Miniaturized Triaxial Accelerometer-Based System: Accuracy in Patients With Mild to Moderate Parkinson's Disease,"Dijkstra, Baukje; Kamsma, Ype P.; Zijlstra, Wiebren",2010,Archives of Physical Medicine and Rehabilitation,"Gait, Monitoring, ambulatory, Posture, Parkinson disease, Rehabilitation","Gait, Monitoring, ambulatory, Posture, Parkinson disease, Rehabilitation",>30,Home,Diagnosis,"Gait,Posture",Wearable,Video Recording,"Accelerometer,Video camera",100,j.apmr.2010.05.004,Research Article,
Executive dysfunction and attention contribute to gait interference in 'off' state Parkinson's Disease,"Lord, Sue; Rochester, Lynn; Hetherington, Vicki; Allcock, Liesl M.; Burn, David",2010,Gait & Posture,"Gait, Parkinson's Disease, Executive function, Attention","Gait, Parkinson's Disease, Executive function, Attention",10<n<=20,Home,Diagnosis,Gait,Wearable,,Accelerometer,uk,j.gaitpost.2009.09.019,Research Article,
Assessment of Parkinson's disease: Classification and complexity analysis,Y. Rakhshani Fatmehsari; F. Bahrami,2010,2010 17th Iranian Conference of Biomedical Engineering (ICBME),Parkinson's disease (PD);Body-fixed sensors;Gait analysis;Time series;Nonlinear feature extraction,Parkinson's disease (PD);Body-fixed sensors;Gait analysis;Time series;Nonlinear feature extraction,<=10,Laboratory,Diagnosis,Gait,Wearable,,Gyroscope,uk,icbme.2010.5704930,IEEE Conferences,
Discovery of Gait Anomalies from Motion Sensor Data,B. Pogorelc; M. Gams,2010,2010 22nd IEEE International Conference on Tools with Artificial Intelligence,gait analysis;motion recognition;data mining,gait analysis;motion recognition;data mining,uk,Laboratory,Diagnosis,Gait,Motion Tracker,,Motion capture,,ictai.2010.119,IEEE Conferences,
Quantitative Analysis of Tremors in Welders,"Sanchez-Ramos, Juan; Reimer, Dacy; Zesiewicz, Theresa; Sullivan, Kelly; Nausieda, Paul A.",2011,International Journal of Environmental Research and Public Health,"manganese,toxicity,Parkinson's Disease,tremor,accelerometer","manganese,toxicity,Parkinson's Disease,tremor,accelerometer",>30,Laboratory,Diagnosis,Tremor,Wearable,,Accelerometer,ok,ijerph8051478,research-article,
A measurement device for motion analysis of patients with Parkinson's disease using sensor based smart clothes,K. Niazmand; K. Tonn; A. Kalaras; S. Kammermeier; K. Boetzel; J. H. Mehrkens; T. C. Lueth,2011,2011 5th International Conference on Pervasive Computing Technologies for Healthcare (PervasiveHealth) and Workshops,acceleration sensors;Parkinson's disease (PD);tremor;smart clothes,acceleration sensors;Parkinson's disease (PD);tremor;smart clothes,10<n<=20,Laboratory,Diagnosis,Tremor,Other,,Accelerometer,,icst.pervasivehealth.2011.246014,IEEE Conferences,
Electronic device to help the diagnosis of Parkinsonian and Essential Tremor,E. Cichaczewski; J. M. Maia; P. Nohama; E. M. Novak; H. A. G. Teive; A. A. Assef,2011,2011 Pan American Health Care Exchanges,Essential Tremor;Frequency;Parkinson,Essential Tremor;Frequency;Parkinson,>30,Laboratory,Diagnosis,Tremor,Wearable,Wearable,Accelerometer,100,pahce.2011.5871930,IEEE Conferences,
Saccadic Eye Movements Are Related to Turning Performance in Parkinson Disease,"Lohnes, Corey A.; Earhart, Gammon M.",2011,Journal of Parkinson's disease,"Parkinson Disease,Saccades,Oculomotor Dysfunction,Gait,Turning","Parkinson Disease,Saccades,Oculomotor Dysfunction,Gait,Turning",20<n<=30,Laboratory,Diagnosis,"Saccades,Limb movements,Bradykinesia and Dyskinesia",Motion Tracker,BioPotential,"Motion capture,EOG",,jpd-2011-11019,research-article,
Contextual processing deficits in Parkinson's disease: The role of the frontostriatal system,"Fogelson, Noa; del-Olmo, Miguel Fernandez; Santos-Garcia, Diego",2011,Clinical Neurophysiology,"Context, EEG, P3b, Parkinson's disease, Prefrontal-striatal circuit","Context, EEG, P3b, Parkinson's disease, Prefrontal-striatal circuit",<=10,Laboratory,Diagnosis,EEG abnormalities,BioPotential,,EEG,,j.clinph.2010.07.017,Research Article,
Multi-joint movements with reversal in Parkinson's disease: Kinematics and electromyography,"de Souza, Luciane Aparecida Pascucci Sande; DionÃƒÂ­sio, Valdeci Carlos; Almeida, Gil LÃƒÂºcio",2011,Journal of Electromyography and Kinesiology,"Parkinson disease, Multi-joint movements","Parkinson disease, Multi-joint movements",<=10,Laboratory,Diagnosis,EMG abnormalities,BioPotential,,EMG,,j.jelekin.2010.10.013,Research Article,
Combined measures of movement and force variability distinguish Parkinson's disease from essential tremor,"Poon, Cynthia; Robichaud, Julie A.; Corcos, Daniel M.; Goldman, Jennifer G.; Vaillancourt, David E.",2011,Clinical Neurophysiology,"Parkinson's disease, Essential tremor, Variability, Bradykinesia, Biomarker","Parkinson's disease, Essential tremor, Variability, Bradykinesia, Biomarker",10<n<=20,Laboratory,Diagnosis,"Limb movements,Tremor",Force/Pressure,BioPotential,"Force sensor,EMG",,j.clinph.2011.04.014,Research Article,
Real-Time Gait Cycle Parameter Recognition Using a Wearable Accelerometry System,"Yang, Che-Chang; Hsu, Yeh-Liang; Shih, Kao-Shang; Lu, Jun-Ming",2011,Sensors,"accelerometry, accelerometer, Parkinson's disease, gait, mobility","accelerometry, accelerometer, Parkinson's disease, gait, mobility",<=10,Laboratory,Diagnosis,"Gait,Freezing of gait",Wearable,,Accelerometer,50,s110807314,Article,
Statistical analysis of parkinson disease gait classification using Artificial Neural Network,H. H. Manap; N. Md Tahir; A. I. M. Yassin,2011,2011 IEEE International Symposium on Signal Processing and Information Technology (ISSPIT),Parkinson's Disease;gait pattern;statistical analysis;basic spatiotemporal;kinematic;kinetic;Artificial Neural Netwrok,Parkinson's Disease;gait pattern;statistical analysis;basic spatiotemporal;kinematic;kinetic;Artificial Neural Netwrok,10<n<=20,Laboratory,Diagnosis,Gait,Force/Pressure,Motion Tracker,"Motion capture,Force sensor",,isspit.2011.6151536,IEEE Conferences,
Freezing of gait detection in Parkinson's disease using accelerometer based smart clothes,K. Niazmand; K. Tonn; Y. Zhao; U. M. Fietzek; F. Schroeteler; K. Ziegler; A. O. Ceballos-Baumann; T. C. Lueth,2011,2011 IEEE Biomedical Circuits and Systems Conference (BioCAS),Parkinson disease;Freezing of gait;textile integrated measurement device;accelerometer,Parkinson disease;Freezing of gait;textile integrated measurement device;accelerometer,<=10,Laboratory,Diagnosis,Freezing of gait,Wearable,,Accelerometer,20,biocas.2011.6107762,IEEE Conferences,
Balance in Parkinson's disease patients changing the visual input,"Suarez, Hamlet; Geisinger, Dario; Ferreira, Enrique D.; Nogueira, Santiago; Arocena, Sofia; Roman, Cecilia San; Suarez, Alejo",2011,Brazilian Journal of Otorhinolaryngology,"linear models, parkinson disease, postural balance, visual perception","linear models, parkinson disease, postural balance, visual perception",20<n<=30,Laboratory,Diagnosis,Balance,Force/Pressure,,Force sensor,,s1808-86942011000500019,Research Article,
An optimized method for tremor detection and temporal tracking through repeated second order moment calculations on the surface EMG signal,"Marchis, Cristiano De; Schmid, Maurizio; Conforto, Silvia",2012,Medical Engineering & Physics,"Surface EMG, Tremor detection, Burst timing, SOMF","Surface EMG, Tremor detection, Burst timing, SOMF",<=10,Laboratory,Diagnosis,Tremor,BioPotential,,EMG,,j.medengphy.2011.12.017,Research Article,
"Support Vector Machine Classification of Parkinson's Disease, Essential Tremor and Healthy Control Subjects Based on Upper Extremity Motion",P. M. Aubin; A. Serackis; J. Griskevicius,2012,2012 International Conference on Biomedical Engineering and Biotechnology,Parkinson's disease;essential tremor;support vector machine;diagnostics,Parkinson's disease;essential tremor;support vector machine;diagnostics,<=10,Laboratory,Diagnosis,Tremor,Wearable,Wearable,"Accelerometer,Gyroscope,Magnetometer",51.2,icbeb.2012.387,IEEE Conferences,
Assessment of Tremor Activity in the Parkinson's Disease Using a Set of Wearable Sensors,G. Rigas; A. T. Tzallas; M. G. Tsipouras; P. Bougia; E. E. Tripoliti; D. Baga; D. I. Fotiadis; S. G. Tsouli; S. Konitsiotis,2012,IEEE Transactions on Information Technology in Biomedicine,Hidden Markov models (HMMs);Levodopa-induced dyskinesia (LID);Parkinson's disease (PD);posture recognition;tremor,Hidden Markov models (HMMs);Levodopa-induced dyskinesia (LID);Parkinson's disease (PD);posture recognition;tremor,10<n<=20,Laboratory,Diagnosis,Tremor,Wearable,Wearable,Accelerometer,62.5,titb.2011.2182616,IEEE Journals & Magazines,
Selection of wavelet-bands for neural network discrimination of Parkinsonian tremor from essential tremor,A. Hossen,2012,"2012 19th IEEE International Conference on Electronics, Circuits, and Systems (ICECS 2012)",Parkinsonian Tremor;Essential Tremor;Discrimination;Wavelet-Decomposition;Power Spectral Density;EMG;Accelerometer;Artificial Neural networks,Parkinsonian Tremor;Essential Tremor;Discrimination;Wavelet-Decomposition;Power Spectral Density;EMG;Accelerometer;Artificial Neural networks,20<n<=30,Laboratory,Diagnosis,Tremor,BioPotential,Wearable,"Accelerometer,EMG",,icecs.2012.6463707,IEEE Conferences,
Noncontact Tremor Characterization Using Low-Power Wideband Radar Technology,G. Blumrosen; M. Uziel; B. Rubinsky; D. Porrat,2012,IEEE Transactions on Biomedical Engineering,Body sensor;optics;Parkinson's disease (PD);tremor;ultrawideband (UWB),Body sensor;optics;Parkinson's disease (PD);tremor;ultrawideband (UWB),uk,Laboratory,Diagnosis,Tremor,Other,,Other,,tbme.2011.2177977,IEEE Journals & Magazines,
Early diagnosis of Parkinson's disease via machine learning on speech data,H. Hazan; D. Hilu; L. Manevitz; L. O. Ramig; S. Sapir,2012,2012 IEEE 27th Convention of Electrical and Electronics Engineers in Israel,Parkinson Disease;Early Diagnosis;Classification;Machine Learning;Speech Data;Pattern Matching;SVM,Parkinson Disease;Early Diagnosis;Classification;Machine Learning;Speech Data;Pattern Matching;SVM,10<n<=20,Laboratory,Diagnosis,Speech topics,Audio Recording,,Microphone,,eeei.2012.6377065,IEEE Conferences,
Analysis of speech characteristics of neurological diseases and their classification,K. Uma Rani; M. S. Holi,2012,"2012 Third International Conference on Computing, Communication and Networking Technologies (ICCCNT'12)",Speech;voice;acoustic measures;multilayer perceptron network;radial basis function network,Speech;voice;acoustic measures;multilayer perceptron network;radial basis function network,uk,Existing Dataset,Diagnosis,Speech topics,Audio Recording,,Microphone,,icccnt.2012.6395886,IEEE Conferences,
Novel Speech Signal Processing Algorithms for High-Accuracy Classification of Parkinson's Disease,A. Tsanas; M. A. Little; P. E. McSharry; J. Spielman; L. O. Ramig,2012,IEEE Transactions on Biomedical Engineering,Decision support tool;feature selection (FS);Parkinson's disease (PD);nonlinear speech signal processing;random forests (RF);support vector machines (SVM),Decision support tool;feature selection (FS);Parkinson's disease (PD);nonlinear speech signal processing;random forests (RF);support vector machines (SVM),>30,Existing Dataset,Diagnosis,Speech topics,Audio Recording,,Microphone,,tbme.2012.2183367,IEEE Journals & Magazines,
A preliminary quantitative analysis of REM sleep chin EMG in Parkinson's disease with or without REM sleep behavior disorder,"Ferri, Raffaele; Fulda, Stephany; Cosentino, Filomena I. I.; Pizza, Fabio; Plazzi, Giuseppe",2012,Sleep Medicine,"REM sleep behavior disorder, Parkinson's disease, REM sleep Atonia Index, Chin EMG analysis, REM sleep without atonia, Synucleinopathies","REM sleep behavior disorder, Parkinson's disease, REM sleep Atonia Index, Chin EMG analysis, REM sleep without atonia, Synucleinopathies",20<n<=30,Laboratory,Diagnosis,Sleep topics,BioPotential,,EMG,,j.sleep.2012.01.003,Research Article,
Normative EMG Values during REM Sleep for the Diagnosis of REM Sleep Behavior Disorder,"Frauscher, Birgit; Iranzo, Alex; Gaig, Carles; Gschliesser, Viola; Guaita, Marc; Raffelseder, Verena; Ehrmann, Laura; Sola, Nuria; Salamero, Manel; Tolosa, Eduardo; Poewe, Werner; Santamaria, Joan; HÃƒÂ¶gl, Birgit",2012,Sleep,"SINBAR EMG montage,normal values,cutoff,EMG activity,quantification,movement disorders","SINBAR EMG montage,normal values,cutoff,EMG activity,quantification,movement disorders",10<n<=20,Laboratory,Diagnosis,Sleep topics,BioPotential,Video Recording,"EMG,Video camera",,sleep.1886,research-article,
Cortical control of voluntary saccades in Parkinson's disease and pre-emptive perception,"Javaid, M. A.; Amassian, V.; Glazman, S.; Fesharaki, A.; Stefanov, D.; Bodis-Wollner, I.",2012,Parkinsonism & Related Disorders,"Voluntary saccades, Gamma, Cortical control, Pre-emptive perception, Parkinson's disease","Voluntary saccades, Gamma, Cortical control, Pre-emptive perception, Parkinson's disease",10<n<=20,Laboratory,Diagnosis,Saccades,BioPotential,,EEG,,s1353-8020(11)70032-3,Research Article,
Spinal and supraspinal stretch responses of postural muscles in early Parkinsonian patients,"Nardone, Antonio; Pasetti, Carlo; Schieppati, Marco",2012,Experimental Neurology,"Parkinson's disease, patients, Postural perturbation, Tibialis anterior, EMG, Spinal and supraspinal circuits","Parkinson's disease, patients, Postural perturbation, Tibialis anterior, EMG, Spinal and supraspinal circuits",<=10,Laboratory,Diagnosis,"Posture,Balance,EMG abnormalities",BioPotential,Other,EMG,,j.expneurol.2012.07.003,Research Article,
"ISway: a sensitive, valid and reliable measure of postural control","Mancini, Martina; Salarian, Arash; Carlson-Kuhta, Patricia; Zampieri, Cris; King, Laurie; Chiari, Lorenzo; Horak, Fay B",2012,Journal of NeuroEngineering and Rehabilitation,"Postural control,Accelerometers,Inertial sensors,Parkinson's disease","Postural control,Accelerometers,Inertial sensors,Parkinson's disease",10<n<=20,Laboratory,Diagnosis,"Posture,Balance",Wearable,Force/Pressure,"Force sensor,Accelerometer",50,1743-0003-9-59,research-article,
A multiblock PLS model of cortico-cortical and corticomuscular interactions in Parkinson's disease,"Chiang, Joyce; Wang, Z. Jane; McKeown, Martin J.",2012,NeuroImage,"Multiblock partial least squares (PLS), Group analysis, Electroencephalography (EEG), Electromyography (EMG), Parkinson's disease (PD), Corticomuscular analysis","Multiblock partial least squares (PLS), Group analysis, Electroencephalography (EEG), Electromyography (EMG), Parkinson's disease (PD), Corticomuscular analysis",<=10,Laboratory,Diagnosis,"EMG abnormalities,EEG abnormalities",BioPotential,,"EEG,EMG",,j.neuroimage.2012.08.023,Research Article,
Clinical subtypes of anterocollis in parkinsonian syndromes,"Revuelta, Gonzalo J.; Benatar, Michael; Freeman, Alan; Wichmann, Thomas; Jinnah, H. A.; DeLong, Mahlon R.; Factor, Stewart A.",2012,Journal of the Neurological Sciences,"Anterocollis, Head drop syndrome, Parkinson's disease, Dystonia, Myopathy","Anterocollis, Head drop syndrome, Parkinson's disease, Dystonia, Myopathy",>30,Laboratory,Diagnosis,EMG abnormalities,BioPotential,,EMG,,j.jns.2011.11.017,Research Article,
Amplitude- and velocity-dependency of rigidity measured at the wrist in Parkinson's disease,"Powell, Douglas; Threlkeld, A. Joseph; Fang, Xiang; Muthumani, Anburaj; Xia, Ruiping",2012,Clinical Neurophysiology,"Parkinson's disease, Rigidity, Dopaminergic medication, EMG, Kinetics","Parkinson's disease, Rigidity, Dopaminergic medication, EMG, Kinetics",10<n<=20,Laboratory,Diagnosis,EMG abnormalities,BioPotential,,EMG,,j.clinph.2011.08.004,Research Article,
Both coordination and symmetry of arm swing are reduced in Parkinson's disease,"Huang, Xuemei; Mahoney, Joseph M.; Lewis, Mechelle M.; Du, Guangwei; Piazza, Stephen J.; Cusumano, Joseph P.",2012,Gait & Posture,"Parkinson's disease, Arm swing asymmetry, Maximum cross correlation, Relative phase, Synchronization, Gait, Accelerometers","Parkinson's disease, Arm swing asymmetry, Maximum cross correlation, Relative phase, Synchronization, Gait, Accelerometers",<=10,Laboratory,Diagnosis,Limb movements,Wearable,,Accelerometer,512,j.gaitpost.2011.10.180,Research Article,
Motor control in complex regional pain syndrome: A kinematic analysis,"Schilder, J. C. M.; Schouten, A. C.; Perez, R. S. G. M.; Huygen, F. J. P. M.; Dahan, A.; Noldus, L. P. J. J.; van Hilten, J. J.; Marinus, J.",2012,PAINÂ®,"Bradykinesia, Central motor processing, CRPS, Kinematic analysis, Motor control","Bradykinesia, Central motor processing, CRPS, Kinematic analysis, Motor control",>30,Laboratory,Diagnosis,Limb movements,Video Recording,,Video camera,,j.pain.2011.12.018,Research Article,
Reliability and diagnostic characteristics of clinical tests of upper limb motor function,"Amer, M.; Hubert, G.; Sullivan, S. J.; Herbison, P.; Franz, E. A.; Hammond-Tooke, G. D.",2012,Journal of Clinical Neuroscience,"Clinical neurology examination, Diagnostic test assessment, Inter-rater reliability, Movement disorders, Predictive values","Clinical neurology examination, Diagnostic test assessment, Inter-rater reliability, Movement disorders, Predictive values",>30,Laboratory,Diagnosis,Limb movements,Video Recording,,Video camera,,j.jocn.2011.12.007,Research Article,
Non-Gaussianity of Low Frequency Heart Rate Variability and Sympathetic Activation: Lack of Increases in Multiple System Atrophy and Parkinson Disease,"Kiyono, Ken; Hayano, Junichiro; Kwak, Shin; Watanabe, Eiichi; Yamamoto, Yoshiharu",2012,Frontiers in Physiology,"heart rate variability,ambulatory ECG,multiple system atrophy,Parkinson disease,autonomic failure","heart rate variability,ambulatory ECG,multiple system atrophy,Parkinson disease,autonomic failure",<=10,Laboratory,Diagnosis,Heart rate,BioPotential,,ECG,,fphys.2012.00034,research-article,
Android application for spiral analysis in Parkinson's Disease,D. Surangsrirat; C. Thanawattano,2012,2012 Proceedings of IEEE Southeastcon,Parkinson's disease;Archimedean spiral;spiral analysis;tremor;android application,Parkinson's disease;Archimedean spiral;spiral analysis;tremor;android application,<=10,Laboratory,Diagnosis,Handwriting,Other,,Touchscreen,,secon.2012.6196943,IEEE Conferences,
Do clinical scales of balance reflect turning abnormalities in people with Parkinson's disease?,"King, LA; Mancini, M; Priest, K; Salarian, A; Rodrigues-de-Paula, F; Horak, F",2012,Journal of Neurologic Physical Therapy,"Parkinson's disease,gait,turn,balance disorders","Parkinson's disease,gait,turn,balance disorders",>30,Laboratory,Diagnosis,"Gait,Posture",Wearable,Wearable,"Accelerometer,Gyroscope",50,npt.0b013e31824620d1,research-article,
Parkinson's disease classification using gait characteristics and wavelet-based feature extraction,"Lee, Sang-Hong; Lim, Joon S.",2012,Expert Systems with Applications,"Parkinson's disease, Gait, Fuzzy neural networks, Wavelet transforms, Feature extraction","Parkinson's disease, Gait, Fuzzy neural networks, Wavelet transforms, Feature extraction",>30,Laboratory,Diagnosis,Gait,Wearable,,Force sensor,100,j.eswa.2012.01.084,Research Article,
Validity and inter-rater reliability of inertial gait measurements in Parkinson's disease: A pilot study,"Esser, Patrick; Dawes, Helen; Collett, Johnny; Feltham, Max G.; Howells, Ken",2012,Journal of Neuroscience Methods,"IMU, Parkinson's disease, Centre of mass, Accelerometry","IMU, Parkinson's disease, Centre of mass, Accelerometry",<=10,Laboratory,Diagnosis,Gait,Wearable,Motion Tracker,"Accelerometer,Gyroscope,Magnetometer,Motion capture",100,j.jneumeth.2012.01.005,Research Article,
Anomalous gait detection using Naive Bayes classifier,H. H. Manap; N. M. Tahir; R. Abdullah,2012,2012 IEEE Symposium on Industrial Electronics and Applications,Naive Bayes;Sequential feature selection;gait analysis;Parkinson Disease,Naive Bayes;Sequential feature selection;gait analysis;Parkinson Disease,10<n<=20,Laboratory,Diagnosis,Gait,Motion Tracker,Force/Pressure,"Force sensor,Motion capture",,isiea.2012.6496664,IEEE Conferences,
